,symbol,id
557,نیرو,39481233087768672
558,قرن,39610074039667804
559,اتکای,39751275523025334
560,بمپنا,39807886630843041
561,کیمیاتک,39884565732277052
562,وثخوز,40043919653526083
563,ارکیده2,40047937479962921
564,دروز,40262275031537922
565,اکتان,40374861063260484
566,قصفها,40411537531154482
567,فارما کیان,40422084765096890
568,سمان,40473515538481093
569,رانفور,40505767672724777
570,وکغدیر,40553302624764543
571,شدوص,40611478183231802
572,ثاژن,40650252484299134
573,فولاژ,40808043719554948
574,آبنوس,40912525017440979
575,رتاپ,41048299027409941
576,چخزر,41122066907413786
577,سفار,41227201752535311
578,سهگمت,41284516796232939
579,وبازار,41286608288791633
580,فجر,41302553376174581
581,وشهر,41379697187196382
582,پتروفارس,41549354947422432
583,بساما,41625340598198551
584,صنم2,41674555503081813
585,وسدید,41713045190742691
586,پیروز,41746336706469006
587,تلیسه,41781090739318251
588,وملی,41796741644273824
589,ستران2,41801042952919497
590,ناب2,41874435286844039
591,توان,41927452991671109
592,پتایر,41935584690956944
593,سخوز,41974758296041288
594,کورز,42049553761321495
595,خاذین,42075223783409640
596,سخوز2,42162172703979745
597,افق2,42226702882503707
598,غبشهر,42387718866026650
599,غناب,42470251469508137
600,زکوثر,42599305106713939
601,کاج,42670427020727409
602,کشرق,42690477960659940
603,ترمه,42705920381780437
604,بهین رو,42799209630949274
605,دامون,43009306066217458
606,چنوپا,43023243844297350
607,تپمپی,43062880954780884
608,کبافق,43256212620530446
609,پاداش,43267179898797137
610,وسبحان,43283802997035462
611,وسرمد,43291783149314349
612,قمرو,43342306308122676
613,آذرین,43358402418932595
614,های وب,43362635835198978
615,دحاوی,43374709930371268
616,ارزش,43443105991896600
617,دارا یکم2,43478160629821469
618,سام4,43479117347139289
619,کویر,43545527030854340
620,خراسان,43552974795606067
621,دسبحا,43622578471330344
622,فلزفارابی,43664630566988630
623,فزرین,43716452378323683
624,شفارس,43781018754867729
625,سمایه,43913530989262989
626,وگستر,43951910415124966
627,ودی,43966385447049549
628,شرانل,44013656953678055
629,ابتکار2,44028240495188776
630,پشاهن,44052047028305231
631,شگل,44153164692325703
632,کهربا2,44215112373339904
633,فاهواز,44296315953738727
634,ثابت اکسیژن,44558786393585356
635,دعبید2,44573833355728012
636,بیدار,44604318643489231
637,حآسا,44625249840480397
638,گکیش,44665761767777759
639,فروسیل,44846320603450383
640,غچین,44850033148208596
641,خساپا,44891482026867833
642,قثابت,44967158778304588
643,وثنو,44986797317463049
644,وسینا,45050389997905274
645,تفیرو,45062188442385800
646,ثنظام,45066064863062755
647,ولساپا,45174198424472334
648,صایند,45205530868811305
649,یارا,45284811973404357
650,کلید,45292762906823004
651,صایند2,45333947259496713
652,عقیق,45452221088910484
653,فجهان,45507655586782998
654,غپآذر,45518744711972166
655,سپید,45519261544951819
656,لکما,45641540066710190
657,امین یکم,45728383369147894
658,خرینگ,45895339414786358
659,همای2,45928267225042656
660,وآفر,45991797190214892
661,فولاد,46348559193224090
662,طلا,46700660505281786
663,سمگا,46741025610365786
664,بترانس,46752599569017089
665,دقاضی,46801030346547943
666,وآیند,46830341954511303
667,نخریس,46878429508891351
668,سیمانا,46918165794045813
669,محتشم,46934177065273437
670,وصنا,46982154647719707
671,ومهان,47026464823464687
672,هم وزن,47041908051542008
673,گنجینه,47101579271117172
674,صنم,47125023640770480
675,تمشک2,47127311832445560
676,وتوکا,47232550823972469
677,ونوین,47302318535715632
678,وخاور,47333458678352378
679,بسویچ,47377315952751604
680,آتیه ملت,47492157735162813
681,ثتوسا,47702059190622416
682,سیستم,47749661205825616
683,حگهر,47756003257788498
684,بازرگام,47797676603278665
685,واعتبار,47841327496247362
686,بیوتیک,47973532381204870
687,وکار,47996917271187218
688,دسینا2,48005134684897812
689,وبانک,48010225447410247
690,ولپارس,48241092863917835
691,بمولد,48261930411425125
692,ولبهمن,48287670503317419
693,رشد,48287767791629523
694,وتوسکا,48457557221009333
695,دانا,48511238766369097
696,غنوش,48619517949257749
697,فلوله,48623320733330408
698,آگاس2,48702596863145683
699,شبریز,48753732042176709
700,بپردیس,48780480822364410
701,پرتو,48818952524587858
702,شنفت2,48848845958085198
703,هیبرید,48932793456289874
704,پویا,48970598895465763
705,خگستر,48990026850202503
706,دعبید,49054891736433700
707,نشار,49129081625829210
708,شسپا,49188729526980541
709,خاور,49270349234092953
710,کاذر,49353447565507376
711,وغدیر2,49373621277888271
712,فبیرا,49399017998386087
713,افق,49502666250908008
714,جاودان,49531112577387255
715,کفرآور,49627523909849331
716,کرومیت,49632601495766480
717,انرژی,49641108336531623
718,جهرم,49674915481184052
719,همگام,49681831162536304
720,دی سهام,49782064767608295
721,رتکو,49854144784855542
722,تاپکیش,50002340308486819
723,ولتجار,50011948410571353
724,اکسیژن,50094941173290382
725,دامین,50100062518826135
726,خلیبل,50117925085549635
727,زرین,50139638026536387
728,ختور,50185721305191887
729,اطمینان,50243708970398750
730,بوعلی,50247622569476338
731,ترنج ثابت,50264175787486822
732,کمنگنز,50341528161302545
733,هامرز,50503654866742146
734,معیار,50580753680043015
735,حشکوه,50587892784913370
736,کمرجان,50633804639547462
737,غیوان,50652985928800943
738,کرمان,50792786683910016
739,فرود,51017863148152520
740,آسیا,51106317433079213
741,سحرخیز,51200575796028449
742,شبندر2,51234238775438234
743,صدف,51285326016186930
744,غشوکو,51294484197536070
745,آلیاژ2,51354976404265922
746,تابا,51459202425114449
747,شتران,51617145873056483
748,بپاس,51971068201094874
749,سغرب,52220424531578944
750,وامید,52232388263291380
751,دکپسول,52382684379473036
752,تکنار,52455922800537930
753,آلیاژ,52497713622747990
754,بمان,52551569846042389
755,نیشکر,52587750999094180
756,پلاست,52593789542874668
757,افرا,52792903131341205
758,پایا2,52806889703092757
759,صنهال,52846735736632974
760,تکاردان,52932092555708556
761,رویین,53059909885484371
762,چکارن,53113471126689455
763,تمشک,53145304508578701
764,تبرک,53204330224889981
765,کیان,53251602435454519
766,کیان2,53254637903825194
767,حگردش,53334304751609770
768,شمیم2,53363812948280634
769,تصمیم,53419976284977130
770,مارون,53449700212786324
771,واحصا,53647874954005806
772,ثپردیس,53999651992586159
773,افران4,54162468776731366
774,کمینا,54263829393913132
775,فسرب,54277068923045214
776,بتک,54369290104873523
777,فروس,54419429862704331
778,زبینا,54482686501491508
779,بنو,54493234408301135
780,تپکو,54509759694064219
781,وتوشه,54676885047867737
782,گلدیرا,54715710303837090
783,پایا,55070742656326885
784,آریا,55127657985997520
785,فن آوا,55201604487356053
786,آپ,55254206302462116
787,پرسپولیس,55289848471625247
788,سام,55308018877404137
789,فتوسا,55373808401388162
790,خوشه,55376739611383226
791,اصیل2,55537729602532087
792,شملی,55862580907068610
793,لسرما,55897939403232751
794,سخواف,55959112038778737
795,کباده,55979741213594029
796,فنورد,56324206651661881
797,فاخر,56344907495802692
798,فسوژ,56375665074210467
799,شلرد,56429431740318486
800,دفارا,56550776668133562
801,وسین,56591881518499520
802,وکادو,56717416662584054
803,حاریا,56798822689379375
804,ولیز,56802926348928053
805,قلرست,56820995669577571
806,توسکا,56871139881800017
807,آتش,56987424987755487
808,کرازی,57086055330734195
809,شرنگی,57157873359416943
810,سرچشمه2,57163231532499487
811,زمرد کوروش,57191287546444240
812,پتروآگاه2,57233073645766428
813,خموتور,57273529732791251
814,غگیلا,57300230097485720
815,وصنعت,57309221039930244
816,غگز,57551382352708199
817,ونچر,57585821705408565
818,وجامی,57600064931636077
819,کپشیر,57639364758870873
820,پلاسک,57722642338781674
821,گنجین,57728534324022361
822,اوصتا,57761388729898548
823,فنوال,57875847776839336
824,والبر,57944184894703821
825,سمتاز,58035444268544991
826,خفناور,58180284328186631
827,کارین4,58238710820802420
828,فنفت,58462435595049907
829,خکرمان,58482817740704549
830,گنج,58514988269776425
831,شکف,58602432837130018
832,پایش,58722731270352481
833,فرابورس,58741071099161284
834,داریوش,58789178087946067
835,کایزد,58810336532668771
836,ویستا,58852293795036597
837,امین,58873907630765023
838,کمان,58965710006903807
839,لوتوس,59142194115401696
840,خکار,59217041815333317
841,ارفع,59266699437480384
842,غمایه,59461185672081215
843,گنگین,59470107928175959
844,وپترو,59486059679335017
845,شمس,59522975635235187
846,سخند,59598536122397373
847,پرداخت,59607545337891226
848,شسم,59800986739603675
849,وثوق,59839275647597021
850,گپارس,59848307608894801
851,نوین,59866041653103343
852,غشاذر,59921975187856916
853,ورازی,60079434631497942
854,تماوند,60162288821230099
855,شاوان,60247433951600827
856,بهیر,60289595205403229
857,کاوه,60350996279289099
858,دالبر,60451823714332895
859,بورس,60523145697836739
860,حکشتی,60610861509165508
861,فلات,60633055620418060
862,سقاین,60654872678917533
863,وهنر,60783654574662426
864,ثجنوب,60887982279284651
865,ثابت اکسیژن2,60996557641329487
866,شپارس,61102694810476197
